metric	count	total	note
complete_command_matrices	75	151	only commands whose full behavior matrix is finished
complete_doc_option_pairs	398	3175	documented command-option pairs whose full behavior matrix is finished
commands_with_matrix_rows	155	151	commands with any written behavior rows
doc_option_pairs_represented_by_rows	1339	3175	documented command-option pairs with at least one behavior row
behavior_rows_written	5155	5155	current written command option value combination state transport platform rows
written_rows_matching_stock_git	4454	5155	closed written rows only
behavior_rows_classified	5126	5155	closed and invalid-input rows safe to skip unless code or evidence changes
behavior_rows_partial	0	5155	written rows with incomplete parity
behavior_rows_open	26	5155	written rows not implemented or not matching yet
invalid_input_rows	672	5155	rows where stock Git rejects the input

command	doc_option_pairs	complete_doc_option_pairs	represented_doc_option_pairs	represented_doc_option_pairs_pct	behavior_rows_written	behavior_rows_classified	behavior_rows_classified_pct_of_written	written_rows_matching_stock_git	written_rows_matching_stock_git_pct_of_written	partial	open	invalid_input	complete_matrix
checkout-index	16	8	8	50.0	17	17	100.0	16	94.1	0	0	1	no
cherry	1	1	1	100.0	14	14	100.0	12	85.7	0	0	2	yes
cherry-pick	24	0	4	16.7	7	7	100.0	5	71.4	0	0	2	no
citool	0	0	0	0.0	5	0	0.0	0	0.0	0	5	0	no
clean	13	13	13	100.0	68	68	100.0	62	91.2	0	0	6	yes
clone	0	0	0	0.0	96	96	100.0	86	89.6	0	0	10	yes
column	7	7	7	100.0	54	54	100.0	46	85.2	0	0	8	yes
commit	59	0	37	62.7	80	80	100.0	75	93.8	0	0	5	no
commit-graph	3	3	3	100.0	14	14	100.0	11	78.6	0	0	3	yes
commit-tree	6	0	4	66.7	58	58	100.0	40	69.0	0	0	18	no
config	30	0	18	60.0	137	137	100.0	124	90.5	0	0	13	no
count-objects	4	4	4	100.0	53	53	100.0	45	84.9	0	0	8	yes
credential	0	0	0	0.0	5	5	100.0	4	80.0	0	0	1	yes
credential-cache	2	2	2	100.0	6	6	100.0	6	100.0	0	0	0	yes
credential-store	1	1	1	100.0	12	12	100.0	8	66.7	0	0	4	yes
cvsexportcommit	13	0	1	7.7	2	1	50.0	1	50.0	0	1	0	no
cvsimport	20	0	6	30.0	3	1	33.3	1	33.3	0	2	0	no
cvsserver	8	0	0	0.0	1	1	100.0	1	100.0	0	0	0	no
daemon	27	0	13	48.1	14	14	100.0	13	92.9	0	0	1	no
describe	14	0	9	64.3	14	14	100.0	14	100.0	0	0	0	no
diagnose	5	5	5	100.0	5	5	100.0	5	100.0	0	0	0	yes
diff	117	0	83	70.9	250	250	100.0	246	98.4	0	0	4	no
diff-files	118	0	79	66.9	98	98	100.0	98	100.0	0	0	0	no
diff-index	112	0	78	69.6	105	105	100.0	105	100.0	0	0	0	no
diff-tree	132	0	85	64.4	117	117	100.0	117	100.0	0	0	0	no
difftool	19	0	7	36.8	9	9	100.0	9	100.0	0	0	0	no
fast-export	18	0	0	0.0	7	7	100.0	4	57.1	0	0	3	no
fast-import	19	0	1	5.3	11	11	100.0	8	72.7	0	0	3	no
fetch	63	1	40	63.5	356	356	100.0	341	95.8	0	0	15	no
fetch-pack	18	1	12	66.7	19	19	100.0	17	89.5	0	0	2	no
filter-branch	16	0	14	87.5	17	17	100.0	17	100.0	0	0	0	no
fmt-merge-msg	9	0	7	77.8	8	8	100.0	8	100.0	0	0	0	no
for-each-ref	18	0	2	11.1	34	34	100.0	23	67.6	0	0	11	no
for-each-repo	2	2	2	100.0	5	5	100.0	5	100.0	0	0	0	yes
format-patch	163	0	12	7.4	15	15	100.0	15	100.0	0	0	0	no
fsck	15	15	15	100.0	56	56	100.0	21	37.5	0	0	35	yes
gc	12	5	5	41.7	9	9	100.0	9	100.0	0	0	0	no
get-tar-commit-id	0	0	0	0.0	2	2	100.0	1	50.0	0	0	1	yes
grep	73	0	7	9.6	16	16	100.0	16	100.0	0	0	0	no
gui	0	0	0	0.0	1	1	100.0	1	100.0	0	0	0	yes
hash-object	7	7	7	100.0	17	17	100.0	14	82.4	0	0	3	yes
help	17	0	0	0.0	1	1	100.0	1	100.0	0	0	0	no
hook	2	2	2	100.0	3	3	100.0	3	100.0	0	0	0	yes
http-backend	0	0	0	0.0	15	15	100.0	14	93.3	0	0	1	yes
http-fetch	9	0	8	88.9	12	12	100.0	10	83.3	0	0	2	no
http-push	6	0	4	66.7	8	8	100.0	8	100.0	0	0	0	no
imap-send	6	6	6	100.0	7	7	100.0	7	100.0	0	0	0	yes
index-pack	16	0	10	62.5	17	17	100.0	11	64.7	0	0	6	no
init	0	0	0	0.0	12	12	100.0	10	83.3	0	0	2	yes
instaweb	13	0	11	84.6	14	0	0.0	0	0.0	0	14	0	no
interpret-trailers	14	14	14	100.0	22	22	100.0	22	100.0	0	0	0	yes
log	134	0	18	13.4	111	111	100.0	106	95.5	0	0	5	no
ls-files	39	0	38	97.4	158	158	100.0	138	87.3	0	0	20	no
ls-remote	14	1	3	21.4	37	37	100.0	33	89.2	0	0	4	no
ls-tree	13	0	3	23.1	9	9	100.0	8	88.9	0	0	1	no
mailinfo	10	10	10	100.0	13	13	100.0	13	100.0	0	0	0	yes
mailsplit	6	6	6	100.0	11	11	100.0	9	81.8	0	0	2	yes
maintenance	5	5	5	100.0	49	49	100.0	32	65.3	0	0	17	yes
merge	51	0	8	15.7	22	22	100.0	14	63.6	0	0	8	no
merge-base	2	2	2	100.0	19	19	100.0	17	89.5	0	0	2	yes
merge-file	10	10	10	100.0	50	50	100.0	36	72.0	0	0	14	yes
merge-index	3	3	3	100.0	8	8	100.0	8	100.0	0	0	0	yes
merge-one-file	0	0	0	0.0	8	8	100.0	8	100.0	0	0	0	yes
merge-tree	8	8	8	100.0	37	37	100.0	22	59.5	0	0	15	yes
mergetool	10	0	8	80.0	14	14	100.0	11	78.6	0	0	3	no
mktag	1	1	1	100.0	3	3	100.0	3	100.0	0	0	0	yes
mktree	3	3	3	100.0	25	25	100.0	19	76.0	0	0	6	yes
multi-pack-index	9	0	1	11.1	10	10	100.0	6	60.0	0	0	4	no
mv	7	7	7	100.0	32	32	100.0	32	100.0	0	0	0	yes
name-rev	8	8	8	100.0	11	11	100.0	11	100.0	0	0	0	yes
notes	28	0	21	75.0	69	69	100.0	60	87.0	0	0	9	no
p4	29	0	1	3.4	4	4	100.0	4	100.0	0	0	0	no
pack-objects	40	0	10	25.0	20	20	100.0	14	70.0	0	0	6	no
pack-redundant	3	3	3	100.0	5	5	100.0	5	100.0	0	0	0	yes
pack-refs	5	5	5	100.0	8	8	100.0	8	100.0	0	0	0	yes
patch-id	3	3	3	100.0	17	17	100.0	9	52.9	0	0	8	yes
prune	6	6	6	100.0	13	13	100.0	12	92.3	0	0	1	yes
prune-packed	4	4	4	100.0	13	13	100.0	9	69.2	0	0	4	yes
pull	99	0	14	14.1	37	37	100.0	36	97.3	0	0	1	no
push	0	0	0	0.0	16	16	100.0	15	93.8	0	0	1	yes
quiltimport	6	6	6	100.0	5	5	100.0	5	100.0	0	0	0	yes
range-diff	6	0	1	16.7	8	8	100.0	6	75.0	0	0	2	no
read-tree	17	3	3	17.6	10	10	100.0	10	100.0	0	0	0	no
rebase	57	0	3	5.3	10	10	100.0	6	60.0	0	0	4	no
receive-pack	1	1	1	100.0	4	4	100.0	4	100.0	0	0	0	yes
reflog	10	0	4	40.0	21	20	95.2	18	85.7	0	0	2	no
refs	4	4	4	100.0	15	15	100.0	11	73.3	0	0	4	yes
remote	2	2	2	100.0	34	34	100.0	27	79.4	0	0	7	yes
repack	33	17	17	51.5	49	49	100.0	49	100.0	0	0	0	no
replace	11	11	11	100.0	19	19	100.0	19	100.0	0	0	0	yes
replay	122	0	2	1.6	5	5	100.0	4	80.0	0	0	1	no
request-pull	1	1	1	100.0	6	6	100.0	5	83.3	0	0	1	yes
rerere	0	0	0	0.0	8	8	100.0	7	87.5	0	0	1	yes
reset	6	0	0	0.0	11	11	100.0	6	54.5	0	0	5	no
restore	25	0	7	28.0	81	81	100.0	61	75.3	0	0	20	no
rev-list	120	0	12	10.0	31	31	100.0	31	100.0	0	0	0	no
rev-parse	53	0	25	47.2	80	80	100.0	73	91.2	0	0	7	no
revert	19	0	4	21.1	7	7	100.0	5	71.4	0	0	2	no
rm	12	12	12	100.0	50	50	100.0	41	82.0	0	0	9	yes
send-email	64	0	2	3.1	18	18	100.0	17	94.4	0	0	1	no
send-pack	12	1	8	66.7	16	16	100.0	15	93.8	0	0	1	no
sh-i18n	0	0	0	0.0	1	1	100.0	1	100.0	0	0	0	yes
sh-setup	0	0	0	0.0	1	1	100.0	1	100.0	0	0	0	yes
shell	0	0	0	0.0	5	5	100.0	2	40.0	0	0	3	yes
shortlog	128	0	9	7.0	11	11	100.0	11	100.0	0	0	0	no
show	15	0	3	20.0	38	38	100.0	38	100.0	0	0	0	no
show-branch	19	0	7	36.8	10	10	100.0	10	100.0	0	0	0	no
show-index	1	1	1	100.0	46	46	100.0	42	91.3	0	0	4	yes
show-ref	13	13	13	100.0	84	84	100.0	76	90.5	0	0	8	yes
sparse-checkout	0	0	0	0.0	11	11	100.0	6	54.5	0	0	5	yes
stage	0	0	0	0.0	84	84	100.0	80	95.2	0	0	4	yes
stash	18	0	16	88.9	209	209	100.0	192	91.9	0	0	17	no
status	21	21	21	100.0	183	183	100.0	170	92.9	0	0	13	yes
stripspace	4	4	4	100.0	60	60	100.0	49	81.7	0	0	11	yes
submodule	30	0	14	46.7	38	37	97.4	30	78.9	0	0	7	no
svn	25	0	0	0.0	3	1	33.3	1	33.3	0	2	0	no
switch	25	0	7	28.0	8	8	100.0	8	100.0	0	0	0	no
symbolic-ref	8	8	8	100.0	88	88	100.0	86	97.7	0	0	2	yes
tag	38	0	21	55.3	40	40	100.0	30	75.0	0	0	10	no
unpack-file	0	0	0	0.0	4	4	100.0	2	50.0	0	0	2	yes
unpack-objects	5	0	4	80.0	10	10	100.0	10	100.0	0	0	0	no
update-index	38	0	16	42.1	43	43	100.0	36	83.7	0	0	7	no
update-ref	0	0	0	0.0	17	17	100.0	17	100.0	0	0	0	yes
update-server-info	2	2	2	100.0	20	20	100.0	16	80.0	0	0	4	yes
upload-archive	0	0	0	0.0	1	1	100.0	1	100.0	0	0	0	yes
upload-pack	5	5	5	100.0	9	9	100.0	9	100.0	0	0	0	yes
var	1	1	1	100.0	21	21	100.0	10	47.6	0	0	11	yes
verify-commit	3	3	3	100.0	9	9	100.0	7	77.8	0	0	2	yes
verify-pack	4	4	4	100.0	22	22	100.0	15	68.2	0	0	7	yes
verify-tag	3	3	3	100.0	9	9	100.0	9	100.0	0	0	0	yes
version	1	1	1	100.0	4	4	100.0	2	50.0	0	0	2	yes
whatchanged	0	0	0	0.0	29	29	100.0	29	100.0	0	0	0	yes
worktree	24	0	8	33.3	17	17	100.0	16	94.1	0	0	1	no
write-tree	2	2	2	100.0	29	29	100.0	19	65.5	0	0	10	yes
