command	evidence	notes
commit-graph	docs/cli/matrices/commit_graph_v2_47.tsv; crates/zmin-cli/tests/git_maintenance_compat.rs	Reviewed complete command matrix: write and verify now cover reachable and object-dir modes, progress and no-progress toggles, option ordering, valid commit-graph verification, and exact stock-Git invalid graph-header parity.
check-ignore	docs/cli/matrices/check_ignore_v2_47.tsv; crates/zmin-cli/tests/git_check_ignore_compat.rs; tools/git-check-ignore-schema-oracle-smoke.sh	Reviewed complete command matrix: positional and stdin query modes, quiet and verbose families, no-index tracked-path behavior, non-matching output, NUL-delimited stdin/output, and stock-compatible invalid invocation and option-conflict rows are all covered by exact stock-Git evidence.
column	docs/cli/matrices/column_v2_47.tsv; crates/zmin-cli/tests/git_text_tools_compat.rs; tools/git-column-oracle-smoke.sh	Reviewed complete command matrix: command lookup, mode and raw-mode families, width, indent, nl, padding, no-* resets, value ordering, repository config interactions, and exact stock-Git invalid-value and invalid-position parity are all covered by exact stock-Git evidence.
ls-files	docs/cli/matrices/ls_files_v2_47.tsv; target/git-doc-cache/v2.47.1/git-ls-files.txt; crates/zmin-cli/tests/git_ls_files_compat.rs; tools/git-ls-files-short-selector-oracle-smoke.sh; tools/git-replacement-dogfood-smoke.sh	Reviewed complete command matrix: cached, stage, unmerged, modified, deleted, killed, others, ignored, directory, empty-directory, no-empty-directory, recurse-submodules, resolve-undo, with-tree, format, eol, debug, tagged, lowercase, deduplicate, pathspec, and NUL-output surfaces now cover the full documented helper-free matrix with exact stock-Git output, parser, index, and worktree-state parity.
merge-base	docs/cli/matrices/merge_base_v2_47.tsv; crates/zmin-cli/tests/git_merge_compat.rs	Reviewed complete command matrix: default and all-mode merge-base queries now cover identical commits, linear history, diverged ancestry, repeated option forms, and exact stock-Git invalid-input parity.
checkout-index	docs/cli/matrices/checkout_index_v2_47.tsv; target/git-doc-cache/v2.47.1/git-checkout-index.txt; crates/zmin-cli/tests/git_worktree_state_compat.rs; tools/git-checkout-index-oracle-smoke.sh	Reviewed complete command matrix: all, force, quiet, prefix, stdin, no-create, index, skip-worktree, temp, stage, and NUL-stdin surfaces now cover documented long and short spellings, mixed alias forms, conflict temp export, metadata refresh, and exact stock-Git restore, parser, stderr, and temporary-file parity.
pack-refs	docs/cli/matrices/pack_refs_v2_47.tsv; crates/zmin-cli/tests/git_maintenance_compat.rs	Reviewed complete command matrix: all, auto, include, exclude, and no-prune coverage now includes loose and packed ref states, include/exclude ordering, all-mode packing, and exact stock-Git files-backend side effects.
read-tree	docs/cli/matrices/read_tree_v2_47.tsv; target/git-doc-cache/v2.47.1/git-read-tree.txt; crates/zmin-cli/tests/git_object_plumbing_compat.rs	Reviewed complete command matrix: the current modeled helper-free surface covers empty, prefix, merge, dry-run, index-only, reset, quiet, verbose, recurse-submodule toggles, sparse-checkout bypass, update-worktree, trivial, and aggressive modes with repeated and reordered forms plus exact stock-Git invalid-input, index, alternate-index, and worktree side-effect parity.
repack	docs/cli/matrices/repack_v2_47.tsv; target/git-doc-cache/v2.47.1/git-repack.txt; target/git-doc-cache/v2.47.1/rev-list-options.txt; crates/zmin-cli/tests/git_maintenance_compat.rs	Reviewed complete command matrix: the current modeled helper-free local surface now covers all documented repack options including cruft, geometric, max-pack-size, filter and filter-to families, repeated and mixed alias ordering, invalid value parity, filtered and expire-to side-pack artifacts, multi-pack-index and bitmap side effects, and stock-compatible reachable, unreachable, and alternate-object repository states.
refs	docs/cli/matrices/refs_v2_47.tsv; crates/zmin-cli/tests/git_refs_compat.rs	Reviewed complete command matrix: verify now covers strict and verbose modes, dry-run, ref-format selection, long no-* toggles, ordering, stdout/stderr parity, and exact stock-Git invalid ref-format or repository-state failures.
show-index	docs/cli/matrices/show_index_v2_47.tsv; tools/git-show-index-object-format-oracle-smoke.sh; git_object_plumbing_compat::show_index_matches_stock_git_for_pack_index_stdin; git_object_plumbing_compat::show_index_option_order_matches_stock_git; git_object_plumbing_compat::show_index_rejects_unsupported_pack_index_version_like_stock_git	Reviewed complete command matrix: stdin pack index behavior, unsupported index-version rejection, and the full documented --object-format surface are covered by exact stock-Git evidence.
symbolic-ref	docs/cli/matrices/symbolic_ref_v2_47.tsv; tools/git-symbolic-ref-schema-oracle-smoke.sh; git_refs_compat::update_ref_and_symbolic_ref_match_stock_git_state; git_refs_compat::symbolic_ref_read_modes_match_stock_git; git_refs_compat::symbolic_ref_delete_recurse_and_message_modes_match_stock_git; git_refs_compat::symbolic_ref_option_combinations_match_stock_git	Reviewed complete command matrix: read, write, delete, quiet, short, recurse, no-* toggles, detached-HEAD modes, repeated flags, short aliases, reflog message writes, and invalid arity/delete failures are covered by exact stock-Git evidence.
show-ref	docs/cli/matrices/show_ref_v2_47.tsv; tools/git-show-ref-schema-oracle-smoke.sh; tools/git-schema-parser-oracle-smoke.sh; git_refs_compat::show_ref_exists_and_quiet_verify_failure_modes_match_stock_git; git_refs_compat::show_ref_option_combinations_match_stock_git; git_refs_compat::show_ref_exclude_existing_matches_stock_git; git_refs_compat::update_ref_and_symbolic_ref_match_stock_git_state; git_refs_compat::packed_refs_are_resolved_updated_and_deleted_like_stock_git; git_history_query_compat::log_and_history_queries_match_stock_git_for_linear_history; git_global_cli_compat::global_bare_option_matches_stock_git_ordering_and_discovery; git_cli_failure_compat::invalid_option_combinations_match_stock_git_failures; git_refs_compat::tag_create_list_delete_and_annotated_objects_match_stock_git_state	Reviewed complete command matrix: listing, verify, exists, exclude-existing stdin filtering, dereference, hash and abbrev modes, heads/branches/tags/head filters, pattern matching, packed-ref states, bare mode, and invalid arity/failure cases are covered by exact stock-Git evidence.
check-mailmap	docs/cli/matrices/check_mailmap_v2_47.tsv; tools/git-check-mailmap-oracle-smoke.sh; git_text_tools_compat::check_mailmap_matches_stock_git_for_common_entries	Reviewed complete command matrix: positional contacts, stdin mode, repeated and negated stdin toggles, mailmap-file and mailmap-blob override ordering, positional/stdin switching, and stdin value-rejection cases are covered by exact stock-Git evidence.
update-server-info	docs/cli/matrices/update_server_info_v2_47.tsv; tools/git-update-server-info-schema-oracle-smoke.sh; git_object_plumbing_compat::update_server_info_matches_stock_git_for_bare_repo	Reviewed complete command matrix: bare-repo updates, long and short force flags, no-force ordering, repeated toggles, and invalid option-value rejection are covered by exact stock-Git evidence.
stripspace	docs/cli/matrices/stripspace_v2_47.tsv; tools/git-stripspace-schema-oracle-smoke.sh; git_text_tools_compat::stripspace_matches_stock_git_for_common_modes	Reviewed complete command matrix: default cleanup, comment-line and strip-comment modes, repeated short and long aliases, mixed same-mode chains, documented mode conflicts, invalid option values, and the documented-note whitespace rejection are covered by exact stock-Git evidence.
request-pull	docs/cli/matrices/request_pull_v2_47.tsv; tools/git-request-pull-p-oracle-smoke.sh; git_mail_tools_compat::request_pull_matches_stock_git_for_local_pushed_branch	Reviewed complete command matrix: local pushed-branch summary output, positional start/url/end surfaces, patch mode, repeated patch flags, and invalid patch-value rejection are covered by exact stock-Git evidence.
count-objects	docs/cli/matrices/count_objects_v2_47.tsv; tools/git-count-objects-schema-oracle-smoke.sh; git_object_plumbing_compat::count_objects_matches_stock_git_for_loose_and_packed_objects	Reviewed complete command matrix: default, human-readable, verbose, mixed verbose-plus-human forms, repeated flags, and invalid value rejections are covered by exact stock-Git evidence.
credential-cache	docs/cli/matrices/credential_cache_v2_47.tsv; tools/git-credential-cache-schema-oracle-smoke.sh; git_credential_compat::credential_cache_matches_stock_git_for_store_get_and_erase	Reviewed complete command matrix: socket-scoped store/get/erase flows, timeout handling, positional actions, stdout/stderr parity, and Unix socket side effects are covered by exact stock-Git evidence.
merge-index	docs/cli/matrices/merge_index_v2_47.tsv; tools/git-merge-index-schema-oracle-smoke.sh; git_merge_plumbing_compat::merge_index_runs_merge_one_file_for_unmerged_entries	Reviewed complete command matrix: merge helper positional program/path forms, all/one-shot/quiet selectors, repeated flags, and index/worktree side effects are covered by exact stock-Git evidence.
unpack-objects	docs/cli/matrices/unpack_objects_v2_47.tsv; target/git-doc-cache/v2.47.1/git-unpack-objects.txt; tools/git-unpack-objects-schema-oracle-smoke.sh; crates/zmin-cli/tests/git_pack_integrity_compat.rs	Reviewed complete command matrix: documented dry-run, quiet, recover, strict, and max-input-size surfaces now cover repeated flags, valid stock pack-stream unpacking, size-limit acceptance and rejection, repeated max-input-size last-one-wins behavior, leading-digit-only malformed-size parsing, and exact stock-Git stdout, stderr, exit, and loose-object side-effect parity.
prune-packed	docs/cli/matrices/prune_packed_v2_47.tsv; tools/git-prune-packed-schema-oracle-smoke.sh; git_maintenance_compat::prune_packed_matches_stock_git_for_dry_run_and_prune	Reviewed complete command matrix: default prune, dry-run, quiet, no-* toggles, repeated flags, invalid value rejection, and loose-object side effects are covered by exact stock-Git evidence.
verify-pack	docs/cli/matrices/verify_pack_v2_47.tsv; tools/git-verify-pack-schema-oracle-smoke.sh; git_pack_integrity_compat::verify_pack_matches_stock_git_for_default_and_stats	Reviewed complete command matrix: default pack-index verification, verbose and stat-only modes, mixed flag ordering, repeated flags, and stdout parity are covered by exact stock-Git evidence.
version	docs/cli/matrices/version_v2_47.tsv; tools/git-replacement-dogfood-smoke.sh; git_global_cli_compat::root_version_option_reports_git_compatible_version_and_zmin_version; git_version_compat::version_command_options_match_stock_git_shape	Reviewed complete command matrix: default output, build-options output, invalid subcommand --version rejection, and replacement-shim parity are covered by exact stock-Git evidence.
write-tree	docs/cli/matrices/write_tree_v2_47.tsv; tools/git-write-tree-schema-oracle-smoke.sh; git_object_plumbing_compat::write_tree_and_commit_tree_match_stock_git_objects	Reviewed complete command matrix: default tree writing, prefix forms, missing-ok toggles, mixed ordering, repeated slash normalization, and tree object side effects are covered by exact stock-Git evidence.
credential-store	docs/cli/matrices/credential_store_v2_47.tsv; tools/git-credential-store-schema-oracle-smoke.sh; git_credential_compat::credential_store_matches_stock_git_for_store_get_and_erase	Reviewed complete command matrix: default and explicit credential file flows, repeated file selection, no-file fallback, positional actions, invalid value rejection, and credential file side effects are covered by exact stock-Git evidence.
mktree	docs/cli/matrices/mktree_v2_47.tsv; tools/git-mktree-schema-oracle-smoke.sh; git_object_plumbing_compat::mktree_matches_stock_git_for_text_nul_and_batch_input	Reviewed complete command matrix: text and NUL input, batch and missing modes, repeated and mixed flag ordering, empty input, malformed input rejection, and tree object side effects are covered by exact stock-Git evidence.
patch-id	docs/cli/matrices/patch_id_v2_47.tsv; tools/git-patch-id-schema-oracle-smoke.sh; git_apply_compat::patch_id_matches_stock_git_for_diff_and_log_patches	Reviewed complete command matrix: default, stable, unstable, and verbatim modes over diff and log patch streams, repeated flags, invalid negations, invalid values, and invalid compact option rejection are covered by exact stock-Git evidence.
verify-commit	docs/cli/matrices/verify_commit_v2_47.tsv; tools/git-verify-signature-schema-oracle-smoke.sh; git_pack_integrity_compat::verify_commit_and_tag_match_stock_git_for_unsigned_and_signed_fixtures	Reviewed complete command matrix: unsigned and signed commit verification, raw and verbose modes, mixed flag ordering, and invalid signing-option rejection are covered by exact stock-Git evidence.
verify-tag	docs/cli/matrices/verify_tag_v2_47.tsv; git-verify-signature-schema-gap-probe.sh; git_pack_integrity_compat::verify_commit_and_tag_match_stock_git_for_unsigned_and_signed_fixtures	Reviewed complete command matrix: unsigned, lightweight, and signed tag verification, raw, verbose, and format modes, mixed flag ordering, and stdout/stderr parity are covered by exact stock-Git evidence.
var	docs/cli/matrices/var_v2_47.tsv; tools/git-var-schema-oracle-smoke.sh; tools/git-var-status-schema-gap-probe.sh; git_admin_tools_compat::var_identity_matches_stock_git; git_admin_tools_compat::var_list_and_failures_match_stock_git	Reviewed complete command matrix: documented list mode, identity and logical variable queries, missing and unknown variable failures, repeated and malformed list forms, and exact stock-Git stdout/stderr/exit parity are covered by existing evidence.
upload-archive	docs/cli/matrices/upload_archive_v2_47.tsv; docs/cli/matrices/archive_v2_47.tsv; git_archive_compat::upload_archive_serves_stock_git_archive_remote_tar; git_archive_compat::upload_archive_accepts_remote_archive_options_like_stock_git	Reviewed complete command matrix: positional repository dispatch is covered directly, and the linked archive remote-exec rows prove service behavior for tar output, prefix/pathspec handling, add-file/add-virtual-file options, and mtime parity against stock Git.
cherry	docs/cli/matrices/cherry_v2_47.tsv; tools/git-cherry-schema-oracle-smoke.sh; git_history_query_compat::cherry_matches_stock_git_for_patch_equivalence_and_upstream_default	Reviewed complete command matrix: default upstream/head selection, explicit upstream/head/limit arguments, verbose and no-verbose output modes, abbreviation handling, and invalid verbose-value rejection are covered by exact stock-Git evidence.
mktag	docs/cli/matrices/mktag_v2_47.tsv; tools/git-mktag-schema-oracle-smoke.sh; git_object_plumbing_compat::mktag_matches_stock_git_for_valid_tag_object	Reviewed complete command matrix: valid stdin tag-object creation, strict default behavior, and no-strict override are covered by exact stock-Git object-id parity evidence.
hook	docs/cli/matrices/hook_v2_47.tsv; git_admin_tools_compat::hook_run_matches_stock_git_for_missing_and_executable_hooks	Reviewed complete command matrix: the run subcommand covers missing-hook behavior, ignore-missing success, executable-hook stdin and argv forwarding, and exact stock-Git stdout/stderr/exit parity on Unix.
for-each-repo	docs/cli/matrices/for_each_repo_v2_47.tsv; git_admin_tools_compat::for_each_repo_matches_stock_git_for_configured_repositories; git_admin_tools_compat::for_each_repo_missing_repo_failures_match_stock_git	Reviewed complete command matrix: configured repository iteration, positional command forwarding, missing repository failure behavior, keep-going continuation, and missing config-key no-op parity are covered by exact stock-Git evidence.
pack-redundant	docs/cli/matrices/pack_redundant_v2_47.tsv; tools/git-pack-redundant-schema-oracle-smoke.sh; git_pack_integrity_compat::pack_redundant_matches_stock_git_for_redundant_pack_set	Reviewed complete command matrix: required warning-acknowledgement flag behavior, all-pack scan, alternate-odb mode, verbose diagnostics, and explicit pack operands are covered by exact stock-Git evidence.
get-tar-commit-id	docs/cli/matrices/get_tar_commit_id_v2_47.tsv; git_archive_compat::get_tar_commit_id_matches_stock_git_archive_metadata	Reviewed complete command matrix: tar commit-id extraction from archive stdin and EOF-before-header failure behavior are covered by exact stock-Git evidence.
merge-one-file	docs/cli/matrices/merge_one_file_v2_47.tsv; git_merge_plumbing_compat::merge_one_file_matches_stock_git_for_content_merge	Reviewed complete command matrix: all positional blob, path, and mode operands are covered by the stock-compatible three-way content merge evidence and matching index/worktree side effects.
whatchanged	docs/cli/matrices/whatchanged_v2_47.tsv; tools/git-whatchanged-schema-gap-probe.sh	Reviewed complete command matrix: the current supported surface covers raw and patch output families, pretty/date formatting, name/stat summaries, pickaxe modes, root/reverse/all traversal switches, since filtering, and current invalid-input parity for the deprecated acknowledgement flag.
http-backend	docs/cli/matrices/http_backend_v2_47.tsv; crates/zmin-cli/tests/git_transport_http_compat.rs	Reviewed complete command matrix: the current modeled surface covers smart HTTP info/refs discovery, ScriptAlias PATH_TRANSLATED resolution, upload-pack POST negotiation, filter capability variants, and shallow/deepen modes with exact stock-Git parity evidence.
update-ref	docs/cli/matrices/update_ref_v2_47.tsv; tools/git-update-ref-oracle-smoke.sh; tools/git-update-ref-schema-gap-probe.sh; crates/zmin-cli/tests/git_refs_compat.rs	Reviewed complete command matrix: the current modeled surface covers positional ref updates, reflog control, deref/no-deref HEAD behavior, delete parity, stdin transaction protocols, batch toggles, and matching ref/reflog/HEAD side effects against stock Git.
gui	docs/cli/matrices/gui_v2_47.tsv; tools/git-foreign-helper-positional-gap-probe.sh::gui_positional_unknown	Reviewed complete command matrix: the current modeled surface covers direct user invocation of an unavailable GUI subcommand with exact stock-Git macOS rejection parity outside a repository.
sh-i18n	docs/cli/matrices/sh_i18n_v2_47.tsv; tools/git-sh-helper-entrypoint-gap-probe.sh::sh_i18n_positional_helper_entrypoint_gap	Reviewed complete command matrix: the current modeled surface covers helper entrypoint invocation as a user command with exact stock-Git rejection parity.
sh-setup	docs/cli/matrices/sh_setup_v2_47.tsv; tools/git-sh-helper-entrypoint-gap-probe.sh::sh_setup_positional_helper_entrypoint_gap	Reviewed complete command matrix: the current modeled surface covers helper entrypoint invocation as a user command with exact stock-Git rejection parity.
credential	docs/cli/matrices/credential_v2_47.tsv; git_credential_compat::credential_matches_stock_git_for_basic_protocol_flows	Reviewed complete command matrix: the current modeled surface covers fill, approve, and reject protocol flows plus missing-field failure behavior with exact stock-Git stdout/stderr/exit parity.
rerere	docs/cli/matrices/rerere_v2_47.tsv; git_rerere_compat::rerere_invalid_operation_matches_stock_git; tools/git-rerere-schema-oracle-smoke.sh	Reviewed complete command matrix: the current modeled surface covers clean-repository status, remaining, and gc subcommands plus invalid operation usage parity with stock Git.
unpack-file	docs/cli/matrices/unpack_file_v2_47.tsv; git_object_plumbing_compat::unpack_file_matches_stock_git_blob_behavior	Reviewed complete command matrix: the current modeled surface covers blob unpack to a merge_file worktree artifact plus commit-object and missing-object failure parity with stock Git.
remote	docs/cli/matrices/remote_v2_47.tsv; tools/git-remote-schema-oracle-smoke.sh; git_admin_tools_compat::remote_config_commands_match_stock_git; git_admin_tools_compat::remote_show_and_prune_match_stock_git_for_local_remote; git_admin_tools_compat::remote_set_branches_matches_stock_git_config; git_admin_tools_compat::remote_set_url_variants_match_stock_git_config	Reviewed complete command matrix: the current modeled surface covers remote listing, verbose output, add/rename/remove flows, show/prune behavior, set-branches modes, and set-url variants with exact stock-Git config and output parity.
receive-pack	docs/cli/matrices/receive_pack_v2_47.tsv; tools/git-receive-pack-schema-oracle-smoke.sh; git_transport_local_compat::receive_pack_accepts_stock_git_send_pack	Reviewed complete command matrix: the current modeled surface covers direct repository service dispatch, http-backend info/refs advertisement mode, and quiet advertisement parity with exact stock-Git ref and transport output behavior.
upload-pack	docs/cli/matrices/upload_pack_v2_47.tsv; tools/git-upload-pack-schema-oracle-smoke.sh; git_transport_local_compat::upload_pack_advertisement_serves_stock_git_ls_remote; git_transport_local_compat::upload_pack_serves_stock_git_clone_protocol_v1	Reviewed complete command matrix: the current modeled surface covers direct repository service dispatch, stock-Git advertisement and clone service behavior, http-backend info/refs mode, strictness toggles, timeout parsing, and stateless-rpc empty-stdin parity with exact stock-Git output and transport behavior.
hash-object	docs/cli/matrices/hash_object_v2_47.tsv; tools/git-hash-object-schema-oracle-smoke.sh; git_object_plumbing_compat::hash_object_and_cat_file_match_stock_git; git_object_plumbing_compat::hash_object_matches_stock_git_for_documented_long_option_modes	Reviewed complete command matrix: positional path hashing, stdin and stdin-paths modes, type and write controls, no-filters/path interactions, literally mode, and exact stock-Git invalid combination parity are covered by exact stock-Git object-id, stdout/stderr/exit, and side-effect evidence.
mailinfo	docs/cli/matrices/mailinfo_v2_47.tsv; tools/git-mailinfo-schema-oracle-smoke.sh; git_mail_tools_compat::mailinfo_matches_stock_git_for_common_patch_mail	Reviewed complete command matrix: default patch-mail splitting, positional msg/patch outputs, subject and message-id toggles, encoding and quoted-CR modes, scissors and no-scissors handling, and exact stock-Git stdout/stderr/file-output parity are covered by exact stock-Git evidence.
name-rev	docs/cli/matrices/name_rev_v2_47.tsv; tools/git-name-rev-show-branch-schema-oracle-smoke.sh; tools/git-name-rev-schema-gap-probe.sh; git_ref_resolution_compat::name_rev_matches_stock_git_for_refs_tags_and_stdin_annotation; git_ref_resolution_compat::name_rev_no_undefined_matches_stock_git_for_dangling_commit	Reviewed complete command matrix: commit naming, refs and exclude filters, tags and all traversal, stdin annotation, undefined and always fallback modes, and exact stock-Git dangling-commit failure parity are covered by exact stock-Git stdout/stderr/exit evidence.
notes	docs/cli/matrices/notes_v2_47.tsv; target/git-doc-cache/v2.47.1/git-notes.txt; crates/zmin-cli/tests/git_notes_compat.rs; crates/zmin-cli/tests/git_notes_invalid_compat.rs	Reviewed complete command matrix: the current modeled helper-free local notes surface now covers add, append, edit, show, copy, merge, remove, prune, get-ref, list, and ref-selection flows; documented long and short aliases including dry-run, quiet, strategy, stdin, separator, and stripspace families; repeated and negated ordering; and exact stock-Git stdout/stderr/exit plus note-ref side-effect parity.
prune	docs/cli/matrices/prune_v2_47.tsv; crates/zmin-cli/tests/git_maintenance_compat.rs	Reviewed complete command matrix: default and explicit expiry pruning, dry-run and verbose aliases, progress toggles, path limiters, negated promisor and dry-run/verbose combinations, reflog preservation, and exact stock-Git malformed-expiry rejection are covered by exact stock-Git side-effect and output evidence.
diagnose	docs/cli/matrices/diagnose_v2_47.tsv; tools/git-diagnose-schema-gap-probe.sh; git_admin_tools_compat::diagnose_creates_zip_archive_with_stats_files	Reviewed complete command matrix: output-directory, suffix, short aliases, and mode selection cover stock-compatible diagnostics archive creation, normalized stdout/stderr, and matching archive contents.
describe	docs/cli/matrices/describe_v2_47.tsv; target/git-doc-cache/v2.47.1/git-describe.txt; tools/git-describe-schema-oracle-smoke.sh; crates/zmin-cli/tests/git_history_query_compat.rs	Reviewed complete command matrix: default naming, long and abbrev forms, tags and all traversal, match and exclude filters, always and dirty fallbacks, broken index handling, candidates exact-match mode, debug tracing, contains descendant tags, and first-parent traversal are covered by exact stock-Git stdout/stderr/exit evidence.
imap-send	docs/cli/matrices/imap_send_v2_47.tsv; tools/git-imap-send-schema-gap-probe.sh; git_mail_tools_compat::imap_send_appends_mbox_messages_to_plain_imap_server	Reviewed complete command matrix: curl and no-curl toggles, quiet and verbose aliases, missing-store diagnostics, and configured plain-IMAP stdin message delivery are covered by exact stock-Git stdout/stderr/exit and mailbox side effects.
mailsplit	docs/cli/matrices/mailsplit_v2_47.tsv; git_mail_tools_compat::mailsplit_matches_stock_git_for_mbox_and_maildir; tools/git-mailsplit-schema-extra-oracle-smoke.sh	Reviewed complete command matrix: mbox and maildir splitting, output-directory and numbering controls, keep-from, keep-cr, mboxrd handling, and exact stock-Git stdout/stderr/output-file parity are covered by focused evidence.
mv	docs/cli/matrices/mv_v2_47.tsv; git_index_mutation_compat::mv_file_and_directory_match_stock_git_tree_after_commit; tools/git-mv-schema-oracle-smoke.sh; tools/git-force-schema-oracle-smoke.sh	Reviewed complete command matrix: tracked file and directory moves, force/skip-errors/dry-run/verbose forms, no-* resets, sparse toggles in non-sparse repos, and exact stock-Git stdout/stderr/index/worktree parity are covered by focused evidence.
quiltimport	docs/cli/matrices/quiltimport_v2_47.tsv; git_mail_tools_compat::quiltimport_applies_series_like_stock_git; tools/git-quiltimport-schema-oracle-smoke.sh; tools/git-quiltimport-schema-gap-probe.sh	Reviewed complete command matrix: author and patches-driven import, dry-run forms, explicit series selection, keep-non-patch handling, and exact stock-Git stdout/stderr/log/tree/status parity are covered by focused evidence.
replace	docs/cli/matrices/replace_v2_47.tsv; crates/zmin-cli/tests/git_ref_resolution_compat.rs; tools/git-replace-schema-oracle-smoke.sh; tools/git-replace-schema-gap-probe.sh	Reviewed complete command matrix: create/list/delete/edit/graft/convert-graft-file flows, short and long aliases, list and format variants, force replacement, raw/no-raw edit behavior, and exact stock-Git refs/replace, stdout/stderr/exit, and replacement object parity are covered by focused evidence.
merge-file	docs/cli/matrices/merge_file_v2_47.tsv; crates/zmin-cli/tests/git_merge_plumbing_compat.rs; tools/git-merge-file-schema-oracle-smoke.sh	Reviewed complete command matrix: stdout and in-place merges, label handling, quiet/no-quiet, ours/theirs/union, diff3/zdiff3, marker-size, diff-algorithm, object-id mode, and exact stock-Git invalid-value parity are covered by focused evidence.
