group	command	option	value	combination	repo_state	transport	platform	stock_git_case	zmin_status	evidence	notes
Plumbing Commands	checkout-index	--temp	<empty>	explicit index path to temp file	indexed file removed from worktree	local	all	git checkout-index --temp README.md	closed	git_worktree_state_compat::checkout_index_missing_documented_options_match_stock_git	temp mode writes a temporary file mapping without restoring the worktree path, matching stock Git
Plumbing Commands	checkout-index	--stage	all	temporary files for unmerged stages	conflicted index entry after merge	local	all	git checkout-index --stage=all f	closed	git_worktree_state_compat::checkout_index_missing_documented_options_match_stock_git	stage=all writes the three conflict stage temp files and path mapping like stock Git
Plumbing Commands	checkout-index	--stage	2	temporary file for one unmerged stage	conflicted index entry after merge	local	all	git checkout-index --stage=2 --temp f	closed	git_worktree_state_compat::checkout_index_missing_documented_options_match_stock_git	numeric stage selection writes the requested conflict stage temp file like stock Git
Plumbing Commands	checkout-index	-z	<empty>	nul-delimited stdin path	indexed file removed from worktree	local	all	printf 'README.md\0' | git checkout-index -z --stdin	closed	git_worktree_state_compat::checkout_index_missing_documented_options_match_stock_git	nul-delimited stdin mode restores the indexed path with stock-compatible output and contents
Plumbing Commands	checkout-index	-z	<empty>	nul-delimited stdin paths with prefix	index with root and nested tracked files	local	all	printf 'README.md\0docs/guide.md\0' | git checkout-index -z --stdin --prefix=out/	closed	git_worktree_state_compat::checkout_index_missing_documented_options_match_stock_git	nul-delimited stdin mode composes with prefix export and writes stock-compatible nested contents
Plumbing Commands	checkout-index	--all	<empty>	all index entries	index with root and nested tracked files removed from worktree	local	all	git checkout-index --all	closed	tools/git-checkout-index-oracle-smoke.sh::checkout_index_all_long	long all form restores indexed paths, stdout/stderr/status and contents like stock Git
Plumbing Commands	checkout-index	--all	<empty>	repeated -a and --all	index with root and nested tracked files removed from worktree	local	all	git checkout-index -a --all	closed	git_worktree_state_compat::checkout_index_documented_option_combinations_match_stock_git	repeated all flags restore indexed paths like stock Git
Plumbing Commands	checkout-index	--all	<empty>	--quiet --force all index entries	index with root and nested tracked files removed from worktree	local	all	git checkout-index --all --quiet --force	closed	git_worktree_state_compat::checkout_index_documented_option_combinations_match_stock_git	all with quiet and force restores indexed paths and leaves output/status matching stock Git
Plumbing Commands	checkout-index	--force	<empty>	explicit index path	indexed file removed from worktree	local	all	git checkout-index --force README.md	closed	tools/git-checkout-index-oracle-smoke.sh::checkout_index_force_long	long force form restores the indexed path, stdout/stderr/status and contents like stock Git
Plumbing Commands	checkout-index	--force	<empty>	repeated -f and --force explicit index path	indexed file removed from worktree	local	all	git checkout-index -f --force README.md	closed	git_worktree_state_compat::checkout_index_documented_option_combinations_match_stock_git	repeated force flags restore the requested path like stock Git
Plumbing Commands	checkout-index	-f	<empty>	explicit index path	indexed file removed from worktree	local	all	git checkout-index -f README.md	closed	tools/git-checkout-index-oracle-smoke.sh::checkout_index_force_short	short force form restores the indexed path, stdout/stderr/status and contents like stock Git
Plumbing Commands	checkout-index	--quiet	<empty>	explicit index path	indexed file removed from worktree	local	all	git checkout-index --quiet README.md	closed	tools/git-checkout-index-oracle-smoke.sh::checkout_index_quiet_long	quiet long form restores the indexed path, suppresses output and leaves status matching stock Git
Plumbing Commands	checkout-index	--quiet	<empty>	repeated -q and --quiet explicit nested index path	indexed nested file removed from worktree	local	all	git checkout-index -q --quiet docs/guide.md	closed	git_worktree_state_compat::checkout_index_documented_option_combinations_match_stock_git	repeated quiet flags keep stock-compatible empty output while restoring the requested path
Plumbing Commands	checkout-index	-q	<empty>	explicit nested index path	indexed nested file removed from worktree	local	all	git checkout-index -q docs/guide.md	closed	tools/git-checkout-index-oracle-smoke.sh::checkout_index_quiet_short	quiet short form restores the nested indexed path, suppresses output and leaves status matching stock Git
Plumbing Commands	checkout-index	--stdin	README.md	--prefix=out/ line-delimited stdin paths	index with root and nested tracked files	local	all	printf 'README.md\ndocs/guide.md\n' | git checkout-index --stdin --prefix=out/	closed	git_worktree_state_compat::checkout_index_documented_option_combinations_match_stock_git	stdin plus prefix writes requested indexed paths under the prefix with stock-compatible status and contents
Plumbing Commands	checkout-index	--stdin	<empty>	explicit path mixed with --stdin	index with root and nested tracked files	local	all	printf 'README.md\n' | git checkout-index --stdin README.md	closed	git_worktree_state_compat::checkout_index_documented_option_combinations_match_stock_git	stdin mixed with explicit paths fails like stock Git and leaves repository state unchanged
Plumbing Commands	checkout-index	--all	<empty>	--stdin conflict	index with root and nested tracked files	local	all	printf 'README.md\n' | git checkout-index --all --stdin	closed	git_worktree_state_compat::checkout_index_documented_option_combinations_match_stock_git	all mixed with stdin fails like stock Git and leaves repository state unchanged
